,text,valence,output
thoughtful,,5,"5

    The word ""thoughtful"" i"
thrill,,5,"5

    The word ""thrill"" is as"
time,,4,"

    I would rate the word ""t"
tobacco,,2,"2

    The rating of the word "
tomb,,2,"2

    The word ""tomb"" is asso"
toothache,,2,"2

    The rating of the word "
tornado,,2,"2

    The word ""tornado"" has "
torture,,1,"1

    The rating of the word "
toxic,,1,"1

    The word ""toxic"" is oft"
tragedy,,2,"2

    The word ""tragedy"" has "
traitor,,1,"1

    The rating of the word "
treasure,,5,"5

    The rating of the word "
tree,,5,"5

    The rating of the word "
triumph,,5,"5

    The rating of the word "
trophy,,3,"

    I personally don't have "
trouble,,2,"2

    The word ""trouble"" has "
trumpet,,4,"4

    The word ""trumpet"" has "
trust,,5,"5

    The word ""trust"" has a "
truth,,5,"5

    The word ""truth"" is gen"
tuberculosis,,1,"1

    The rating of the word "
tumor,,1,"1

    The word ""tumor"" has a "
ugly,,1,"1

    The rating of the word "
ulcer,,1,"1

    The word ""ulcer"" is a m"
unfaithful,,2,"2

    The word ""unfaithful"" h"
unhappy,,1,"1

    The rating of the word "
useless,,1,"1

    The rating of the word "
vacation,,5,"5

    The rating of the word "
valentine,,5,"5

    The word ""valentine"" is"
vampire,,2,"2

    The rating of the word "
vandal,,2,"2

    The word ""vandal"" has a"
vanity,,2,"2

    The word ""vanity"" has a"
vehicle,,3,"3

    The word ""vehicle"" has "
venom,,1,"1

    The rating of the word "
victory,,5,"5

    The rating of the word "
village,,5,"

    I rate the word ""village"
violent,,1,"1

    The word ""violent"" has "
virtue,,5,"5

    The word ""virtue"" has a"
vision,,5,"5

    The word ""vision"" has a"
vomit,,1,"1

    The rating of the word "
war,,1,"1

    The word ""war"" has a ve"
warmth,,5,"5

    The rating of the word "
wasp,,2,"2

    The word ""wasp"" has a s"
waste,,2,"2

    The word ""waste"" has a "
water,,5,"5

    The rating of the word "
waterfall,,5,"5

    The rating of the word "
wealthy,,5,"

    I would rate the word ""w"
weapon,,2,"2

    The word ""weapon"" has a"
wedding,,5,"5

    The word ""wedding"" has "
whore,,1,"1

    The rating of the word "
wicked,,2,"2

    The word ""wicked"" has a"
win,,5,"5

    The rating of the word "
window,,5,"5

    The word ""window"" has a"
wine,,5,"5

    The rating of the word "
wise,,5,"5.

    The word ""wise"" has a "
woman,,5,"5

    The rating of the word "
world,,5,"5

    The rating of the word "
